BookID,Title,Author,Downloads
10169,Semper Fidelis March,"Sousa, John Philip",15
1017,The Soul of Man under Socialism,"Wilde, Oscar",414
10170,Stars and Stripes Forever,Sousa Band,12
10171,Santa Lucia,"Lotter, Adolph",5
10172,Minuet in G Flat major and Valse Bluette,"Beethoven, Ludwig van",46
10173,"Hungarian Rhapsody No. 2, Part 1",Edison Concert Band,16
10174,"William Tell Overture, Pt. 2","Rossini, Gioacchino",10
10175,"Prelude in C Sharp Minor, Op. 3","Rachmaninoff, Sergei",12
10176,"The Debutante
Caprice Brillante","Clarke, Herbert L. (Herbert Lincoln)",5
10177,Ride of the Valkyries,American Symphony Orchestra,202
10178,"Piano Sonata No. 14 in C sharp minor ""Moonlight""","Beethoven, Ludwig van",48
10179,"Extracts from the Ballet-Suite Scherazada, Pt. 1","Rimsky-Korsakov, Nikolay",24
1018,The Water-Babies,"Kingsley, Charles",123
10180,"Slavonic Dance, No. 1","Ruhrseitz, Kurt",34
10181,"Clair de Lune
From Suite Bergamasque","Debussy, Claude",32
10182,"Trio No. 1 in B Flat, Pt. 1
1st Movement, allegro moderato, Op. 99",New York Trio,9
10183,"Etude Nouvelle in A Flat and Etude in C Major, Op. 10, No. 1","Chopin, Frédéric",35
10184,"Quartet in G, 1st Movement, Pt. 1",Roth Quartet,14
10185,Minstrel Potpourri,Edison Minstrels,2
10186,Schultz at the Paris Exposition,"Kennedy, Frank",3
10187,Reuben Haskin's ride on the Cyclone Auto,"Spencer, Len",1
10188,Two Rubes at the Vaudeville,"Stanley, Frank C.",5
10189,Three Rubes Seeing New York,Edison Vaudeville Company,5
1019,"Poems by Currer, Ellis, and Acton Bell","Brontë, Emily",168
10190,"A Bunch of Nonsense
Vaudeville Specialty","Hill, Murry K.",3
10191,Fourth of July at Punkin Center,"Stewart, Cal",3
10192,"Interruptions
Comic Sketch","Woottwell, Tom",5
10193,Backyard Conversation Between Mrs. Reilly and Mrs. Finnegan,"Porter, Steve",5
10194,Opera Reel with Calls,"Bisbee, Jep",6
10195,Lonesome Road Blues,Blue Ridge Duo,13
10196,Cluck Old Hen,Fiddlin' Powers & Family,7
10197,He Was Nailed to the Cross for Me,Dixie Mountaineers,8
10198,Barbara Allen,"Luther, Frank",21
10199,Down in a Georgia Jail,North Carolina Ramblers,9
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",408
1020,Sword Blades and Poppy Seed,"Lowell, Amy",65
10200,"To Edison from Colonel Gouraud, Introducing Mr. Gladstone
The Phonograph's Salutation","Gladstone, W. E. (William Ewart)",1
10201,The Desert of Wheat,"Grey, Zane",77
10202,"Maria Mitchell: Life, Letters, and Journals","Kendall, Phebe Mitchell",10
10203,"Big Ben Clock Tower of Westminster
Striking half past 10, quarter to 11, and 11 o'clock",None,11
10204,Charge of the Light Brigade,"Landfrey, Kenneth",24
10205,"Words of Welcome
Opening of the Electrical Exposition of New York City","Hobart, Garret A. (Garret Augustus)",1
10206,The Liver Complaint Story,"Edison, Thomas A. (Thomas Alva)",6
10207,The Railroad Question,"Bryan, William Jennings",3
10208,The Rights of Labor,"Taft, William H. (William Howard)",7
10209,"Electricity and Progress
Opening of the New York Electrical Show","Edison, Thomas A. (Thomas Alva)",10
1021,"The Congo, and Other Poems","Lindsay, Vachel",114
10210,"Wolves of the Sea
Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""","Parrish, Randall",17
10211,At Whispering Pine Lodge,"Leslie, Lawrence J.",6
10212,Peck's Bad Boy with the Circus,"Peck, George W. (George Wilbur)",24
10213,The Everlasting Whisper,"Gregory, Jackson",15
10214,Introduction to the Philosophy and Writings of Plato,"Taylor, Thomas",107
10215,"Manfredo Palavicino, o, I Francesi e gli Sforzeschi
Storia Italiana","Rovani, Giuseppe",8
10216,Poems,"Holley, Marietta",2
10217,The Land of Little Rain,"Austin, Mary Hunter",10
10218,Stauder,"Brandt, G. N. (Gudmund Nyeland)",7
10219,The Poetical Works of William Wordsworth — Volume 1,"Knight, William Angus",138
1022,Walking,"Thoreau, Henry David",295
10220,Daddy Takes Us Skating,"Garis, Howard Roger",17
10221,Purple Springs,"McClung, Nellie L.",7
10222,"The Pilgrims of New England
A Tale of the Early American Settlers","Webb-Peploe, Mrs. (Annie)",28
10223,Meyers Konversationslexikon Band 15,Various,157
10224,"Kalitan, Our Little Alaskan Cousin","Nixon-Roulet, Mary F.",40
10225,Their Crimes,"Mirman, Léon",15
